Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Thumb_tip_x,Thumb_tip_y,Thumb_tip_z,Index_tip_x,Index_tip_y,Index_tip_z,Middle_tip_x,Middle_tip_y,Middle_tip_z,Ring_tip_x,Ring_tip_y,Ring_tip_z,Pinky_tip_x,Pinky_tip_y,Pinky_tip_z,Palm_tip_x,Palm_tip_y,Palm_tip_z
69,166,153,99,53,28,25,28,44.483646392822266,17.55181884765625,-7.929728031158447,-35.00855255126953,-54.00145721435547,-20.15684700012207,16.9695987701416,-42.837093353271484,-56.472774505615234,-51.7715950012207,-31.242616653442383,26.939529418945312,152.4923095703125,160.8585968017578,152.5906524658203,149.86634826660156,144.00830078125,155.42567443847656
66,146,142,131,54,28,24,29,44.48363494873047,17.5520076751709,-7.928863048553467,-35.00506591796875,-53.999534606933594,-20.0167293548584,16.951799392700195,-42.856136322021484,-56.49639892578125,-51.80205535888672,-31.261322021484375,26.807453155517578,152.4805145263672,160.84947204589844,152.57955932617188,149.85044860839844,143.99856567382812,155.37623596191406
58,126,142,139,48,26,23,27,44.48422622680664,17.553253173828125,-7.925462245941162,-34.99536895751953,-53.993431091308594,-19.719606399536133,16.90111541748047,-42.90742492675781,-56.56229782104492,-51.876609802246094,-31.31306266784668,26.511987686157227,152.44688415527344,160.82498168945312,152.5487060546875,149.81179809570312,143.97171020507812,155.2998809814453
44,105,138,133,43,23,21,24,44.48422622680664,17.553253173828125,-7.925462245941162,-34.99536895751953,-53.993431091308594,-19.719606399536133,16.90111541748047,-42.90742492675781,-56.56229782104492,-51.876609802246094,-31.31306266784668,26.511987686157227,152.44688415527344,160.82498168945312,152.5487060546875,149.81179809570312,143.97171020507812,155.2998809814453
43,92,109,133,46,25,18,24,44.486026763916016,17.55620574951172,-7.919871807098389,-34.98051834106445,-53.98444747924805,-19.427608489990234,16.833782196044922,-42.97617721557617,-56.64092254638672,-51.97340774536133,-31.37885093688965,26.24224090576172,152.40219116210938,160.79217529296875,152.51219177246094,149.76170349121094,143.93780517578125,155.2183380126953
39,110,103,122,46,23,17,24,44.48739242553711,17.558486938476562,-7.91550350189209,-34.96986770629883,-53.979164123535156,-19.28667640686035,16.796674728393555,-43.016510009765625,-56.6901741027832,-52.03506851196289,-31.41421127319336,26.10422706604004,152.37757873535156,160.77297973632812,152.48912048339844,149.72955322265625,143.919677734375,155.182861328125
36,116,105,103,45,25,18,22,44.48904800415039,17.561185836791992,-7.909506797790527,-34.957767486572266,-53.9734992980957,-19.15355110168457,16.75918197631836,-43.058013916015625,-56.7495002746582,-52.10115432739258,-31.4500732421875,25.958887100219727,152.35279846191406,160.75332641601562,152.46099853515625,149.69515991210938,143.90135192871094,155.1444549560547
34,114,102,83,43,25,18,22,44.48904800415039,17.564289093017578,-7.901670932769775,-34.94489669799805,-53.96699142456055,-19.01116371154785,16.75918197631836,-43.10014724731445,-56.8187255859375,-52.167762756347656,-31.488798141479492,25.804811477661133,152.35279846191406,160.73338317871094,152.4277801513672,149.66055297851562,143.88148498535156,155.0979461669922
38,119,99,91,41,26,18,19,44.48904800415039,17.567575454711914,-7.89283561706543,-34.9317512512207,-53.959659576416016,-18.890945434570312,16.75918197631836,-43.140750885009766,-56.89094161987305,-52.23271560668945,-31.530115127563477,25.64330291748047,152.35279846191406,160.71417236328125,152.3929901123047,149.6267547607422,143.8602294921875,155.06011962890625
33,124,103,99,44,27,19,17,44.48904800415039,17.57122802734375,-7.883533000946045,-34.919334411621094,-53.95170211791992,-18.75898551940918,16.75918197631836,-43.18164825439453,-56.9616584777832,-52.291748046875,-31.57284927368164,25.466754913330078,152.35279846191406,160.69473266601562,152.3588104248047,149.59620666503906,143.8382110595703,155.01846313476562
38,113,121,95,42,29,22,20,44.48904800415039,17.57769775390625,-7.867676258087158,-34.897891998291016,-53.93712615966797,-18.515230178833008,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.38831329345703,-31.64706039428711,25.048830032348633,152.35279846191406,160.6639862060547,152.30538940429688,149.54656982421875,143.8002166748047,154.9894256591797
41,114,135,82,39,27,20,19,44.48904800415039,17.57769775390625,-7.867676258087158,-34.89004898071289,-53.93075180053711,-18.400436401367188,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.42233657836914,-31.67789649963379,24.848064422607422,152.35279846191406,160.6639862060547,152.30538940429688,149.52943420410156,143.78453063964844,154.99844360351562
40,122,130,97,43,28,21,19,44.48904800415039,17.57769775390625,-7.867676258087158,-34.88361740112305,-53.924678802490234,-18.27849769592285,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.449520111083984,-31.70629119873047,24.66499900817871,152.35279846191406,160.6639862060547,152.30538940429688,149.51593017578125,143.77015686035156,155.0080108642578
38,146,145,98,47,29,22,19,44.48904800415039,17.57769775390625,-7.867676258087158,-34.87764358520508,-53.918766021728516,-18.170774459838867,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.4739990234375,-31.73310089111328,24.51186180114746,152.35279846191406,160.6639862060547,152.30538940429688,149.5038604736328,143.7566680908203,155.01980590820312
39,158,171,89,45,28,22,20,44.48904800415039,17.57769775390625,-7.867676258087158,-34.87147521972656,-53.912471771240234,-18.047006607055664,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.49858474731445,-31.760732650756836,24.375213623046875,152.35279846191406,160.6639862060547,152.30538940429688,149.49176025390625,143.74278259277344,155.0206298828125
38,185,161,92,43,25,20,19,44.48904800415039,17.57769775390625,-7.867676258087158,-34.865116119384766,-53.9057731628418,-17.900123596191406,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.52328872680664,-31.78928565979004,24.2358455657959,152.35279846191406,160.6639862060547,152.30538940429688,149.47970581054688,143.72854614257812,155.01898193359375
41,186,151,90,44,25,21,19,44.48904800415039,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.8877067565918,-17.505718231201172,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.55162811279297,-31.861738204956055,23.95746612548828,152.35279846191406,160.6639862060547,152.30538940429688,149.4658966064453,143.69239807128906,154.98431396484375
46,186,158,76,44,27,22,23,44.48904800415039,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.87401580810547,-17.274808883666992,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.55162811279297,-31.913490295410156,23.822664260864258,152.35279846191406,160.6639862060547,152.30538940429688,149.4658966064453,143.66632080078125,154.9419403076172
49,182,162,74,42,28,22,34,44.48904800415039,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.85673522949219,-16.96588897705078,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.55162811279297,-31.97612762451172,23.614450454711914,152.35279846191406,160.6639862060547,152.30538940429688,149.4658966064453,143.6343994140625,154.82472229003906
48,183,143,76,42,27,22,36,44.48904800415039,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.83572769165039,-16.63102912902832,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.55162811279297,-32.049625396728516,23.414052963256836,152.35279846191406,160.6639862060547,152.30538940429688,149.4658966064453,143.59637451171875,154.6507110595703
56,192,143,78,40,29,22,37,44.48904800415039,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.8105354309082,-16.246877670288086,16.75918197631836,-43.24712371826172,-57.07307434082031,-52.55162811279297,-32.134605407714844,23.232295989990234,152.35279846191406,160.6639862060547,152.30538940429688,149.4658966064453,143.5515594482422,154.23483276367188
51,189,145,76,44,31,21,38,44.49049377441406,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.779869079589844,-15.852569580078125,16.700422286987305,-43.24712371826172,-57.07307434082031,-52.55162811279297,-32.23423385620117,23.090381622314453,152.31546020507812,160.6639862060547,152.30538940429688,149.4658966064453,143.49781799316406,153.81295776367188
48,191,147,80,40,28,20,38,45.74738311767578,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.69470977783203,-15.232829093933105,12.284551620483398,-43.24712371826172,-57.07307434082031,-52.55162811279297,-32.49806594848633,22.94774055480957,149.526611328125,160.6639862060547,152.30538940429688,149.4658966064453,143.3481903076172,152.91464233398438
59,191,154,85,39,26,21,30,48.70502853393555,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.641029357910156,-15.039528846740723,7.79335355758667,-43.24712371826172,-57.07307434082031,-52.55162811279297,-32.659610748291016,22.873424530029297,146.62310791015625,160.6639862060547,152.30538940429688,149.4658966064453,143.25274658203125,152.54515075683594
61,187,155,86,35,26,22,29,52.50282287597656,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.58124542236328,-14.872653007507324,4.443020343780518,-43.24712371826172,-57.07307434082031,-52.55162811279297,-32.83638381958008,22.8306941986084,144.16282653808594,160.6639862060547,152.30538940429688,149.4658966064453,143.14599609375,152.23941040039062
54,161,146,95,37,27,21,27,55.92223358154297,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.51555252075195,-14.648100852966309,2.9348909854888916,-43.24712371826172,-57.07307434082031,-52.55162811279297,-33.025657653808594,22.81675148010254,142.68727111816406,160.6639862060547,152.30538940429688,149.4658966064453,143.02911376953125,151.86512756347656
55,169,148,94,31,26,21,27,58.61282730102539,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.44501876831055,-14.449891090393066,2.720055103302002,-43.24712371826172,-57.07307434082031,-52.55162811279297,-33.223472595214844,22.7957820892334,141.87107849121094,160.6639862060547,152.30538940429688,149.4658966064453,142.90518188476562,151.5549774169922
57,174,161,91,32,26,22,24,60.48858642578125,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.37213134765625,-14.289027214050293,3.0880379676818848,-43.24712371826172,-57.07307434082031,-52.55162811279297,-33.423431396484375,22.774673461914062,141.43081665039062,160.6639862060547,152.30538940429688,149.4658966064453,142.7784881591797,151.30545043945312
45,166,148,82,32,28,19,24,61.96588897705078,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.29758071899414,-14.110527992248535,3.696068525314331,-43.24712371826172,-57.07307434082031,-52.55162811279297,-33.62384033203125,22.75465965270996,141.1488494873047,160.6639862060547,152.30538940429688,149.4658966064453,142.6498565673828,151.05860900878906
45,173,146,91,33,30,20,23,64.1561508178711,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.870305061340332,5.036257266998291,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.69927215576172,140.881103515625,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.7273712158203
50,179,180,91,35,30,21,23,64.99087524414062,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.781118392944336,5.645345687866211,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.646398544311523,140.81224060058594,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.61814880371094
53,186,185,97,42,28,21,22,65.70116424560547,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.701951026916504,6.191758632659912,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.596603393554688,140.74586486816406,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.5236053466797
53,178,180,96,42,31,23,24,66.30915832519531,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.634727478027344,6.684086799621582,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.54744529724121,140.6955108642578,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.44589233398438
57,176,183,102,44,29,23,24,66.83370208740234,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.572525978088379,7.130698204040527,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.500219345092773,140.66075134277344,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.3811492919922
61,178,184,107,43,30,21,25,67.30447387695312,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.519092559814453,7.556646347045898,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.458608627319336,140.65904235839844,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.32313537597656
54,157,160,96,43,32,23,25,68.05567169189453,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.435150146484375,8.26382827758789,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.361976623535156,140.6797637939453,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.2565460205078
52,159,183,102,41,32,23,25,68.35698699951172,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.396695137023926,8.558794021606445,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.316696166992188,140.6990203857422,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.22999572753906
50,159,177,101,43,30,21,22,68.61946105957031,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.364435195922852,8.823057174682617,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.275840759277344,140.7233123779297,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.20779418945312
43,154,164,101,41,31,21,22,68.84684753417969,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.336437225341797,9.056669235229492,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.23558235168457,140.749755859375,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.19052124023438
38,165,178,131,44,32,22,22,69.0467300415039,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.308391571044922,9.26559066772461,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.198148727416992,140.7751007080078,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.1772003173828
44,165,177,138,47,30,22,22,69.37962341308594,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.244626998901367,9.620107650756836,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.124990463256836,140.82037353515625,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.15586853027344
44,171,158,132,45,30,22,22,69.52091979980469,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.206704139709473,9.77281665802002,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.078428268432617,140.84188842773438,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.15220642089844
45,180,155,134,43,29,23,22,69.64996337890625,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.165715217590332,9.9141206741333,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,22.035629272460938,140.86378479003906,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.14739990234375
46,174,167,136,45,29,23,24,69.76871490478516,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.121319770812988,10.045171737670898,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.99372100830078,140.88497924804688,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.1451873779297
48,162,167,155,43,29,22,25,69.87714385986328,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.072577476501465,10.165857315063477,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.951702117919922,140.9049530029297,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.1485137939453
46,178,178,152,38,29,21,24,70.06629943847656,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.976773262023926,10.378564834594727,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.876806259155273,140.94151306152344,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.169921875
47,152,169,153,39,30,24,24,70.1486587524414,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.920207023620605,10.471628189086914,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.837255477905273,140.95774841308594,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.19287109375
47,144,170,178,45,33,23,24,70.225341796875,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.859933853149414,10.55843448638916,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.79953384399414,140.97328186035156,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.2191619873047
50,144,158,196,45,33,22,22,70.29937744140625,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.79473876953125,10.642454147338867,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.75780487060547,140.9893035888672,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.25572204589844
44,133,134,152,43,30,21,20,70.3730239868164,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.722318649291992,10.726738929748535,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.71150779724121,141.00732421875,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.2994842529297
43,117,116,149,44,30,22,22,70.4503173828125,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.644063949584961,10.814525604248047,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.646705627441406,141.0267333984375,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.35838317871094
41,113,117,153,44,31,18,22,70.54205322265625,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.568496704101562,10.917156219482422,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.578889846801758,141.0496826171875,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.41943359375
40,123,118,123,41,29,20,21,70.84306335449219,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.443741798400879,11.244754791259766,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.41315460205078,141.12774658203125,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.5640411376953
38,135,124,89,44,31,21,22,70.84306335449219,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.443741798400879,11.244754791259766,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.41315460205078,141.12774658203125,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.5640411376953
43,134,116,83,47,32,21,23,70.99519348144531,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.378664016723633,11.401639938354492,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.203895568847656,141.16929626464844,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.70542907714844
41,126,114,84,53,33,20,21,71.02229309082031,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.340243339538574,11.427061080932617,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.099349975585938,141.1776885986328,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.76258850097656
42,138,111,89,55,33,21,22,71.03850555419922,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.321026802062988,11.440771102905273,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,21.00739097595215,141.18341064453125,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.81068420410156
39,130,106,87,54,33,20,22,71.04954528808594,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.327449798583984,11.448949813842773,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.92023277282715,141.18812561035156,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.85536193847656
39,119,130,83,51,30,22,24,71.05810546875,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.346626281738281,11.454004287719727,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.816730499267578,141.1930694580078,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.90553283691406
34,116,146,98,50,33,23,23,71.06475830078125,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.379607200622559,11.455697059631348,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.6973876953125,141.19886779785156,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,150.9675750732422
33,123,168,105,46,30,22,23,71.06807708740234,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.447635650634766,11.43924617767334,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.457813262939453,141.21493530273438,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.07852172851562
37,127,167,93,44,29,22,21,71.06123352050781,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.48241901397705,11.415855407714844,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.3544979095459,141.22605895996094,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.10494995117188
39,145,186,96,43,31,22,22,71.0455322265625,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.54149341583252,11.378599166870117,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.246992111206055,141.23971557617188,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.13323974609375
41,144,166,112,45,32,20,20,71.01756286621094,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.592962265014648,11.32348346710205,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.154094696044922,141.25723266601562,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.15611267089844
41,139,158,102,42,28,21,21,70.974853515625,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.668747901916504,11.247981071472168,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,20.049585342407227,141.28048706054688,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.19410705566406
41,133,130,96,38,28,21,21,70.90986633300781,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.790154457092285,11.143126487731934,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,19.93115997314453,141.31344604492188,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.27239990234375
37,121,128,94,40,27,21,23,70.90986633300781,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-12.871084213256836,11.143126487731934,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,19.853286743164062,141.31344604492188,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.31826782226562
35,110,116,100,42,28,20,23,70.87665557861328,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.036046981811523,11.098464012145996,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,19.71438980102539,141.32598876953125,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.40719604492188
32,108,139,98,41,26,22,22,70.5473861694336,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.126347541809082,10.677732467651367,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,19.651723861694336,141.43136596679688,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.454833984375
36,108,138,104,41,26,24,24,69.85643005371094,17.57769775390625,-7.867676258087158,-34.85755920410156,-53.15094757080078,-13.214568138122559,9.835576057434082,-43.24712371826172,-57.07307434082031,-52.55162811279297,-34.01068115234375,19.598892211914062,141.61376953125,160.6639862060547,152.30538940429688,149.4658966064453,142.39785766601562,151.49703979492188
